Depth,Month,Day,Year,DO,Percent,Temp
5,9,11,21,0.3,3.2,18.3
6,9,11,21,0.21,2.2,15.4
7,9,11,21,0.16,1.5,13.5
,,,,,,
0,9,12,21,7.35,81.7,20.5
1,9,12,21,7.32,81.5,20.6
2,9,12,21,7.28,81,20.6
3,9,12,21,7.26,80.9,20.6
4,9,12,21,7.23,80.7,20.6
5,9,12,21,0.87,6.5,19.3
6,9,12,21,0.22,2.2,16.9
7,9,12,21,0.14,1.4,13.5
,,,,,,
0,9,13,21,7.72,87.3,21.4
1,9,13,21,7.67,86.9,21.4
2,9,13,21,7.52,84.7,21.3
3,9,13,21,7.21,80.4,20.8
4,9,13,21,6.52,72,20.5
5,9,13,21,0.22,2.7,19.5
6,9,13,21,0.15,1.5,15.7
7,9,13,21,0.11,1.1,13.3
,,,,,,
0,9,15,21,8.06,91.7,21.7
1,9,15,21,8.03,91.2,21.7
2,9,15,21,7.95,90.1,21.6
3,9,15,21,7.09,78.8,20.9
4,9,15,21,6.82,76.6,20.8
5,9,15,21,6.85,77.1,20.8
6,9,15,21,6.85,76.7,20.8
7,9,15,21,0.2,2,13.4
,,,,,,
0,9,15,21,8.3,97.1,23.2
1,9,15,21,8.27,96.6,23.1
2,9,15,21,7.64,87.7,21.8
3,9,15,21,7.26,81.7,21.2
4,9,15,21,6.71,7.4,20.8
5,9,15,21,0.5,5.8,19.1
6,9,15,21,0.18,1.8,15
7,9,15,21,0.13,1.3,13.4
,,,,,,
0,9,16,21,8.14,93.2,22.1
1,9,16,21,8.12,93.1,22.1
2,9,16,21,7.91,90.5,22.1
3,9,16,21,7.14,80.3,21.4
4,9,16,21,6.3,70.3,20.7
5,9,16,21,0.58,6,19.4
6,9,16,21,0.22,2.3,16
7,9,16,21,0.17,1.6,13.9
,,,,,,
0,9,18,21,8.4,99.2,23.7
1,9,18,21,8.34,96.9,22.7
2,9,18,21,8.26,94.8,22.2
3,9,18,21,7.93,91.5,21.9
4,9,18,21,6.47,70.5,20.9
5,9,18,21,0.39,4,18.6
6,9,18,21,0.4,4,18.6
7,9,18,21,0.19,2.1,18.5
,,,,,,
0,9,19,21,8.38,96.7,22.5
1,9,19,21,8.36,96.3,22.4
2,9,19,21,8.29,95.1,22.1
3,9,19,21,7.95,90.2,21.8
4,9,19,21,6.52,73.8,21.3
5,9,19,21,0.46,4.7,19.2
6,9,19,21,0.22,2.4,17
7,9,19,21,0.14,1.5,14
,,,,,,
0,9,21,21,8.23,93.2,21.5
1,9,21,21,8.21,93,21.5
2,9,21,21,8.18,92.4,21.5
3,9,21,21,8.13,92,21.4
4,9,21,21,6,68.4,21
5,9,21,21,0.54,5.5,19.2
6,9,21,21,0.14,1.4,15.5
7,9,21,21,0.13,1.3,14.2
,,,,,,
0,9,22,21,8.35,94.9,21.6
1,9,22,21,8.34,94.7,21.6
2,9,22,21,8.32,94.5,21.7
3,9,22,21,7.87,89.1,21.5
4,9,22,21,6.37,71.3,21
5,9,22,21,0.33,3.8,19.1
6,9,22,21,0.2,2,15.8
7,9,22,21,0.15,1.5,13.5
,,,,,,
0,9,24,21,8.5,98.2,22.2
1,9,24,21,8.52,98,22.3
2,9,24,21,8.34,95.1,21.8
3,9,24,21,8.16,92.7,21.7
4,9,24,21,7.26,80.7,20.9
5,9,24,21,0.48,5.2,19.3
6,9,24,21,0.25,2.5,16.5
7,9,24,21,0.17,"1,8",13.7
,,,,,,
0,9,25,21,8.07,90.6,21.1
1,9,25,21,8.04,90.4,21.1
2,9,25,21,8.01,90.2,21.2
3,9,25,21,7.99,89.9,21.2
4,9,25,21,7.96,89.5,21.2
5,9,25,21,0.53,5.4,19.1
6,9,25,21,0.3,3.1,16
7,9,25,21,0.2,1.9,14
,,,,,,
0,9,25,21,8.21,92.1,21
1,9,25,21,8.18,91.9,21.1
2,9,25,21,8.17,91.8,21.1
3,9,25,21,8.14,91.5,21.1
4,9,25,21,8.04,90.2,21
5,9,25,21,0.42,4.5,19.4
6,9,25,21,0.15,1.5,16
7,9,25,21,0.13,1.3,14.3
,,,,,,
0,9,25,21,8.24,95.3,22.6
1,9,25,21,8.23,94.4,22.1
2,9,25,21,8.16,92.3,21.4
3,9,25,21,8.09,91,21.1
4,9,25,21,6.5,73.3,20.8
5,9,25,21,0.53,5.5,19.4
6,9,25,21,0.2,2.3,16.6
7,9,25,21,0.14,1.3,13.9
,,,,,,
0,9,26,21,8.39,95,21.5
1,9,26,21,8.43,95.3,21.4
2,9,26,21,8.35,94,21.2
3,9,26,21,8.28,93.1,21.1
4,9,26,21,7.9,88,20.9
5,9,26,21,0.47,4.9,19.6
6,9,26,21,0.23,2.4,16.3
7,9,26,21,0.18,1.7,13.6
,,,,,,
0,9,27,21,8.3,93.3,21
1,9,27,21,8.29,93.1,21
2,9,27,21,8.27,92.7,21
3,9,27,21,8.25,92.6,21
4,9,27,21,8.18,90.7,20.4
5,9,27,21,0.37,3.7,18.9
6,9,27,21,0.2,2.4,16.8
7,9,27,21,0.15,1.4,14.3
,,,,,,
0,9,28,21,8.24,91.1,20.3
1,9,28,21,8.19,90.5,20.3
2,9,28,21,8.09,89.4,20.3
3,9,28,21,8.04,88.9,20.3
4,9,28,21,7.84,86.6,20.2
5,9,28,21,2.18,27.8,19.6
6,9,28,21,0.18,1.8,15.9
7,9,28,21,0.12,1.3,13.7
,,,,,,
0,9,29,21,7.77,84.6,19.5
1,9,29,21,7.75,84.4,19.5
2,9,29,21,7.74,84.3,19.6
3,9,29,21,7.72,84.2,19.6
4,9,29,21,7.74,84.4,19.6
5,9,29,21,1.59,25.1,19.5
6,9,29,21,0.19,2,16.7
7,9,29,21,0.15,1.7,13.7
,,,,,,
0,9,29,21,8.31,91.3,19.9
1,9,29,21,8.28,91,20
2,9,29,21,8.08,88.5,19.7
3,9,29,21,8.14,"88,8",19.6
4,9,29,21,7.94,86.3,19.4
5,9,29,21,6.64,71.3,18.8
6,9,29,21,0.34,3.5,15.8
7,9,29,21,0.24,2.3,13.9
,,,,,,
0,9,30,21,7.94,85.6,19.1
1,9,30,21,7.9,85.3,19.1
2,9,30,21,7.89,85.4,19.2
3,9,30,21,7.86,85.1,19.2
4,9,30,21,7.82,84.6,19.2
5,9,30,21,5.77,60.1,18.8
6,9,30,21,0.26,2.7,16.1
7,9,30,21,0.2,1.9,13.9
,,,,,,
0,10,1,21,8.06,85.7,18.3
1,10,1,21,8.01,85.5,18.4
2,10,1,21,8,85.2,18.4
3,10,1,21,7.99,85,18.4
4,10,1,21,7.99,85,18.4
5,10,1,21,7.76,81.6,18.2
6,10,1,21,0.31,3,15.9
7,10,1,21,0.21,2,13.8
,,,,,,
0,10,1,21,8.04,85.1,18.1
1,10,1,21,8.01,85,18.2
2,10,1,21,7.98,84.6,18.2
3,10,1,21,7.96,84.5,18.2
4,10,1,21,7.96,84.5,18.2
5,10,1,21,7.92,84.3,18.1
6,10,1,21,2.13,,17.9
7,10,1,21,1.49,12,16.5
,,,,,,
0,10,1,21,8.35,90.1,19
1,10,1,21,8.32,89,18.6
2,10,1,21,8.31,88.7,18.5
3,10,1,21,8.1,86.3,18.4
4,10,1,21,8.06,85.6,18.2
5,10,1,21,8,84.7,18.1
6,10,1,21,0.39,3.6,16.3
7,10,1,21,0.17,1.7,13.7
,,,,,,
0,10,3,21,8.43,89.4,18.2
1,10,3,21,8.41,89.2,18.2
2,10,3,21,8.39,89,18.2
3,10,3,21,8.07,85.3,18
4,10,3,21,7.86,82.9,18
5,10,3,21,7.59,79.7,17.8
6,10,3,21,0.2,2.2,15.6
7,10,3,21,0.19,1.8,13.9
,,,,,,
0,10,4,21,8.52,90.2,18.1
1,10,4,21,8.48,89.9,18.1
2,10,4,21,8.46,89.6,18.1
3,10,4,21,8.39,88.9,18.1
4,10,4,21,7.73,81.6,18
5,10,4,21,7.29,76.7,17.7
6,10,4,21,0.2,2,16.6
7,10,4,21,0.14,1.4,13.7
,,,,,,
0,10,5,21,8.21,85.6,17.4
1,10,5,21,8.16,85.2,17.5
2,10,5,21,8.12,"84,5",17.5
3,10,5,21,8.08,84.6,17.5
4,10,5,21,8.05,84.2,17.5
5,10,5,21,7.84,81,17.5
6,10,5,21,0.47,4.8,16.6
7,10,5,21,0.22,2.2,13.7
,,,,,,
0,10,6,21,8.19,85.2,17.3
1,10,6,21,8.14,84.8,17.3
2,10,6,21,8.12,84.6,17.3
3,10,6,21,8.08,84.1,17.3
4,10,6,21,8.05,83.9,17.3
5,10,6,21,7.96,82.9,17.3
6,10,6,21,0.46,4.6,16.1
7,10,6,21,0.2,1.9,13.9
,,,,,,
0,10,6,21,8.54,90.2,18
1,10,6,21,8.38,87.6,17.4
2,10,6,21,8.22,85.7,17.4
3,10,6,21,8.24,85.9,17.3
4,10,6,21,8.12,84.4,17.2
5,10,6,21,7.89,82,17.1
6,10,6,21,1.92,2,17
7,10,6,21,0.25,2.6,14
,,,,,,
0,10,6,21,8.58,90.4,18.2
1,10,6,21,8.48,88.6,17.6
2,10,6,21,8.37,87.1,
3,10,6,21,8.23,85.8,
4,10,6,21,8.08,84.1,17.3
5,10,6,21,8.04,83.7,17.2
6,10,6,21,6.3,64,16.8
7,10,6,21,,,13.8
,,,,,,
0,10,6,21,8.64,91.7,18.2
1,10,6,21,8.58,89.8,17.6
2,10,6,21,,,
3,10,6,21,,,
4,10,6,21,8.1,84.4,17.3
5,10,6,21,8.04,83.8,17.2
6,10,6,21,7.7,31.9,16.8
7,10,6,21,0.24,2.9,13.8
,,,,,,
0,10,7,21,8.23,85.4,17.1
1,10,7,21,8.2,85.1,17.1
2,10,7,21,8.18,84.9,17.1
3,10,7,21,8.16,84.7,17.1
4,10,7,21,8.15,84.5,17.1
5,10,7,21,8.13,84.3,17.1
6,10,7,21,0.62,6.9,16.5
7,10,7,21,0.23,2.2,14.1
,,,,,,
0,10,7,21,8.14,84.3,17
1,10,7,21,8.15,84.4,17
2,10,7,21,8.16,82.2,17
3,10,7,21,,,
4,10,7,21,,,
5,10,7,21,,,
6,10,7,21,,,
7,10,7,21,,,
,,,,,,
0,10,7,21,8.41,89.8,18.4
1,10,7,21,8.48,88.9,17.6
2,10,7,21,8.45,88.3,17.3
3,10,7,21,8.42,87.3,17.2
4,10,7,21,8.32,86.3,17.2
5,10,7,21,8.13,84.2,17.1
6,10,7,21,0.58,6.1,15.8
7,10,7,21,0.34,3.1,14.4
,,,,,,
0,10,8,21,8.73,91.6,17.6
1,10,8,21,8.73,91.3,17.6
2,10,8,21,8.69,90.8,17.4
3,10,8,21,8.22,85.5,17.3
4,10,8,21,8.17,83.7,17.2
5,10,8,21,8.06,83.1,17.1
6,10,8,21,8.03,2.9,15.8
7,10,8,21,0.27,1.9,13.9
,,,,,,
0,10,8,21,8.73,91.6,18.8
1,10,8,21,8.73,91.3,18.4
2,10,8,21,8.69,90.8,17.7
3,10,8,21,8.22,85.5,17.3
4,10,8,21,8.17,83.7,17.2
5,10,8,21,8.06,83.1,17.1
6,10,8,21,8.03,2.9,16.3
7,10,8,21,0.27,1.9,14
,,,,,,
0,10,9,21,8.87,92.6,17.4
1,10,9,21,8.82,92.1,17.5
2,10,9,21,8.78,91.6,17.4
3,10,9,21,8.46,87.6,17.3
4,10,9,21,8,83.6,17.3
5,10,9,21,7.79,81.8,17.2
6,10,9,21,0.5,5.2,0.5
7,10,9,21,0.2,2.8,0.2
,,,,,,
0,10,10,21,8.44,87.4,17.1
1,10,10,21,8.42,87.2,17.1
2,10,10,21,8.4,87,17.1
3,10,10,21,8.38,86.9,17.1
4,10,10,21,8.38,86.8,17.1
5,10,10,21,8.36,86.6,17.1
6,10,10,21,0.26,2.6,15.8
7,10,10,21,0.24,2.3,13.8
,,,,,,
0,10,11,21,8.49,87.5,16.9
1,10,11,21,8.46,87.3,16.9
2,10,11,21,8.44,87.4,16.9
3,10,11,21,8.39,86.6,16.9
4,10,11,21,8.34,85.9,16.9
5,10,11,21,7.88,81.2,16.8
6,10,11,21,0.22,2.2,16
7,10,11,21,0.17,1.7,13.8
,,,,,,
0,10,12,21,8.82,94.2,18.5
1,10,12,21,8.82,93.6,18.2
2,10,12,21,8.78,90.8,17
3,10,12,21,8.64,89.1,16.8
4,10,12,21,8.47,87.2,16.7
5,10,12,21,8.63,88.8,16.7
6,10,12,21,4.1,42.1,16.4
7,10,12,21,0.33,7.2,14.2
,,,,,,
0,10,13,21,9.1,95.1,17.5
1,10,13,21,9.13,95.2,17.4
2,10,13,21,8.93,92.4,17.9
3,10,13,21,8.37,86.8,16.8
4,10,13,21,8.32,85.8,16.8
5,10,13,21,8.17,83.8,16.7
6,10,13,21,4,,15.7
7,10,13,21,,,
,,,,,,
0,10,14,21,8.75,90.4,16.9
1,10,14,21,8.75,90.4,16.9
2,10,14,21,8.74,90.1,16.9
3,10,14,21,8.4,86.3,16.8
4,10,14,21,8.17,84.1,16.7
5,10,14,21,8.98,83.3,16.7
6,10,14,21,0.25,35,16
7,10,14,21,0.22,2.1,14.1
,,,,,,
0,10,16,21,9.22,98.6,18.6
1,10,16,21,9.24,98.5,18.5
2,10,16,21,8.32,86.7,17.3
3,10,16,21,8.97,93,17.1
4,10,16,21,8.26,85.2,16.9
5,10,16,21,7.88,80.6,16.8
6,10,16,21,2,10,16
7,10,16,21,0.6,3.5,14.9
,,,,,,
0,10,16,21,8.45,90.6,19
1,10,16,21,9.09,97.5,18.8
2,10,16,21,,,
3,10,16,21,,,
4,10,16,21,,,
5,10,16,21,,,
6,10,16,21,,,
7,10,16,21,,,
,,,,,,
0,10,17,21,9.03,94,17.2
1,10,17,21,9.02,93.8,17.2
2,10,17,21,8.99,93.5,17.2
3,10,17,21,8.86,92.2,17.2
4,10,17,21,8.12,83.9,16.9
5,10,17,21,7.64,78.4,16.7
6,10,17,21,4.4,45,16.3
7,10,17,21,0.37,3.2,14.7
,,,,,,
0,10,18,21,8.13,91.5,16.5
1,10,18,21,8.92,91.3,16.5
2,10,18,21,8.89,90.9,16.5
3,10,18,21,8.65,88.3,16.4
4,10,18,21,8.36,85.5,16.4
5,10,18,21,8.53,87.1,16.3
6,10,18,21,4.65,54.3,15.9
7,10,18,21,0.33,4.3,14.3
,,,,,,
0,10,20,21,8.5,84.9,15.3
1,10,20,21,8.49,84.7,15.3
2,10,20,21,8.48,84.6,15.3
3,10,20,21,8.46,84.4,15.2
4,10,20,21,8.44,84.2,15.2
5,10,20,21,8.43,84,15.2
6,10,20,21,8.41,83.8,15.2
7,10,20,21,1.06,11.7,14.7
,,,,,,
0,10,21,21,8.82,88.6,15.6
1,10,21,21,8.81,88.5,15.6
2,10,21,21,8.64,86.6,15.5
3,10,21,21,8.41,84,15.3
4,10,21,21,8.39,83.7,15.3
5,10,21,21,8.37,83.3,15.2
6,10,21,21,8.05,78,15.1
7,10,21,21,1.27,12.5,14.6
,,,,,,
0,10,21,21,9.07,92.7,16.4
1,10,21,21,9.06,92.2,16.2
2,10,21,21,8.98,90.7,15.9
3,10,21,21,8.37,83.6,15.3
4,10,21,21,8.27,82.5,15.2
5,10,21,21,8.21,81.7,15.2
6,10,21,21,8.1,81.3,15.1
7,10,21,21,0.23,2.3,14.7
,,,,,,
0,10,23,21,8.55,85.1,15.1
1,10,23,21,8.56,85.1,15.1
2,10,23,21,8.53,84.8,15.1
3,10,23,21,8.52,84.8,15.1
4,10,23,21,8.5,84.5,15.1
5,10,23,21,8.54,84.9,15.1
6,10,23,21,6.43,65,15
7,10,23,21,0.23,2.3,14.6
,,,,,,
0,10,23,21,8.84,88.5,15.4
1,10,23,21,8.81,88,15.4
2,10,23,21,8.81,87.7,15.2
3,10,23,21,8.78,87.2,15.1
4,10,23,21,8.57,85,15
5,10,23,21,8.31,82.4,14.9
6,10,23,21,8.37,82.9,14.9
7,10,23,21,8.04,79,14.6
,,,,,,
0,10,24,21,8.44,83,14.6
1,10,24,21,8.41,82.8,14.7
2,10,24,21,8.39,82.7,14.7
3,10,24,21,8.43,83,14.7
4,10,24,21,8.4,82.8,14.7
5,10,24,21,8.38,82.6,14.7
6,10,24,21,8.39,82.6,14.7
7,10,24,21,2.71,20.6,14.7
,,,,,,
0,10,24,21,8.89,88.6,15.2
1,10,24,21,8.81,87.6,15
2,10,24,21,8.7,85.8,14.7
3,10,24,21,8.61,84.8,14.7
4,10,24,21,8.53,83.8,14.6
5,10,24,21,8.49,83.2,14.5
6,10,24,21,8.51,83.3,14.4
7,10,24,21,0.25,2.4,14.2
,,,,,,
0,10,25,21,8.69,85.2,14.5
1,10,25,21,8.6,85,14.5
2,10,25,21,8.64,84.8,14.5
3,10,25,21,8.62,84.6,14.5
4,10,25,21,8.57,84.1,14.5
5,10,25,21,8.35,81.8,14.5
6,10,25,21,8.26,80.7,14.3
7,10,25,21,4.5,4.5,14.2
,,,,,,
0,10,27,21,9.08,87,13.4
1,10,27,21,9.04,86.7,13.4
2,10,27,21,9.02,86.4,13.4
3,10,27,21,9.01,86.4,13.4
4,10,27,21,8.99,86.2,13.4
5,10,27,21,8.98,80,13.4
6,10,27,21,1.96,17.1,13.6
7,10,27,21,7.06,72,13.4
,,,,,,
0,10,28,21,9.24,87.8,13
1,10,28,21,9.18,87.3,13.1
2,10,28,21,9.16,87.1,13.1
3,10,28,21,9.14,86.9,13.1
4,10,28,21,9.12,86.8,13.1
5,10,28,21,9.11,86.6,13.1
6,10,28,21,9.08,86.3,13.1
7,10,28,21,8.97,84.9,12.9
,,,,,,
0,10,29,21,9.37,88.9,12.9
1,10,29,21,9.34,88.3,12.9
2,10,29,21,9.3,88.1,12.9
3,10,29,21,9.28,87.9,12.9
4,10,29,21,9.13,86.1,12.7
5,10,29,21,8.97,84.3,12.5
6,10,29,21,9,84.5,12.5
7,10,29,21,0.95,5.4,12.5
,,,,,,
0,10,31,21,9.38,87.7,12.3
1,10,31,21,9.35,87.3,12.3
2,10,31,21,9.35,87.3,12.3
3,10,31,21,9.32,87,12.3
4,10,31,21,9.28,86.7,12.3
5,10,31,21,9.26,50.4,12.2
6,10,31,21,9.21,85.9,12.2
7,10,31,21,0.3,61,12.3
,,,,,,
0,10,31,21,9.36,88.8,12.9
1,10,31,21,9.38,88.6,12.8
2,10,31,21,9.36,88.2,12.7
3,10,31,21,9.24,86.6,12.4
4,10,31,21,9.24,85.7,12.3
5,10,31,21,9.18,86.9,12.3
6,10,31,21,9.11,84.9,12.3
7,10,31,21,0.5,50,12.3
,,,,,,
0,11,1,21,9.52,90.3,13
1,11,1,21,9.54,90,12.7
2,11,1,21,9.37,87.8,12.4
3,11,1,21,9.35,87.7,12.4
4,11,1,21,9.3,87,12.4
5,11,1,21,9.23,86.1,12.3
6,11,1,21,9.1,84.8,12.3
7,11,1,21,0.25,2,12.3
,,,,,,
0,11,2,21,9.33,86.9,12.8
1,11,2,21,9.3,86.4,12.1
2,11,2,21,9.25,86.1,12.1
3,11,2,21,9.22,85.9,12.1
4,11,2,21,9.21,85.7,12.1
5,11,2,21,9.2,85.6,12.1
6,11,2,21,9.18,85.4,12.1
7,11,2,21,0.14,1.3,12.1
,,,,,,
0,11,3,21,9.41,86.5,11.6
1,11,3,21,9.33,86,11.7
2,11,3,21,9.3,85.7,11.7
3,11,3,21,9.28,85.6,11.7
4,11,3,21,9.27,85.5,11.7
5,11,3,21,9.25,85.3,11.7
6,11,3,21,9.21,84.8,11.7
7,11,3,21,0.57,3.4,11.6
,,,,,,
0,11,4,21,9.47,86.2,11.1
1,11,4,21,9.43,85.7,11.1
2,11,4,21,9.4,85.3,11.1
3,11,4,21,9.37,85.2,11.1
4,11,4,21,9.35,84.9,11.1
5,11,4,21,9.39,85.6,11.1
6,11,4,21,9.36,85,11.1
7,11,4,21,4.8,44.1,11.4
,,,,,,
0,11,7,21,9.73,85.8,9.9
1,11,7,21,9.67,85.3,9.8
2,11,7,21,9.63,84.9,9.8
3,11,7,21,9.6,84.7,9.8
4,11,7,21,9.58,84.5,9.8
5,11,7,21,9.55,84.3,9.8
6,11,7,21,9.54,84.2,9.8
7,11,7,21,7,,10.1
,,,,,,
0,11,9,21,9.82,87,9.9
1,11,9,21,9.76,86,9.8
2,11,9,21,9.74,85.9,9.7
3,11,9,21,9.74,85.6,9.7
4,11,9,21,9.73,85.6,9.7
5,11,9,21,9.66,84.7,9.7
6,11,9,21,9.52,83.7,9.6
7,11,9,21,0.83,4.79,9.6
,,,,,,
0,11,26,21,11.2,88.9,5.5
1,11,26,21,11.18,88.6,5.5
2,11,26,21,11.06,87.6,5.5
3,11,26,21,10.99,87.9,5.4
4,11,26,21,10.99,86.9,5.4
5,11,26,21,10.94,86.6,5.4
6,11,26,21,10.88,86.2,5.4
7,11,26,21,0.5,6,5.4
